SITENAME,Date,Type,ugP/g
SRS1b,2002-09-01,Aboveground,368.000
SRS1b,2002-09-01,Aboveground,450.000
SRS1b,2002-09-01,Aboveground,750.000
SRS2,2002-09-01,Aboveground,280.000
SRS2,2002-09-01,Aboveground,292.000
SRS2,2002-09-01,Aboveground,234.000
SRS3,2002-09-01,Aboveground,296.000
SRS3,2002-09-01,Aboveground,266.000
SRS3,2002-09-01,Aboveground,302.000
SRS1b,2002-09-01,Belowground,662.000
SRS1b,2002-09-01,Belowground,378.000
SRS1b,2002-09-01,Belowground,1440.000
SRS2,2002-09-01,Belowground,1300.000
SRS2,2002-09-01,Belowground,234.000
SRS2,2002-09-01,Belowground,164.000
SRS3,2002-09-01,Belowground,1020.000
SRS3,2002-09-01,Belowground,170.000
SRS3,2002-09-01,Belowground,210.000
SRS1b,2003-03-01,Aboveground,363.000
SRS1b,2003-03-01,Aboveground,302.000
SRS1b,2003-03-01,Aboveground,372.000
SRS2,2003-03-01,Aboveground,326.000
SRS2,2003-03-01,Aboveground,242.000
SRS2,2003-03-01,Aboveground,224.000
SRS3,2003-03-01,Aboveground,270.000
SRS3,2003-03-01,Aboveground,356.000
SRS3,2003-03-01,Aboveground,252.000
SRS1b,2003-03-01,Belowground,932.000
SRS1b,2003-03-01,Belowground,889.000
SRS1b,2003-03-01,Belowground,242.000
SRS2,2003-03-01,Belowground,110.000
SRS2,2003-03-01,Belowground,180.000
SRS2,2003-03-01,Belowground,146.000
SRS3,2003-03-01,Belowground,144.000
SRS3,2003-03-01,Belowground,244.000
SRS3,2003-03-01,Belowground,114.000
SRS1b,2004-03-01,Aboveground,272.560
SRS1b,2004-03-01,Aboveground,531.278
SRS1b,2004-03-01,Aboveground,330.279
SRS2,2004-03-01,Aboveground,416.070
SRS2,2004-03-01,Aboveground,194.869
SRS2,2004-03-01,Aboveground,236.350
SRS3,2004-03-01,Aboveground,249.175
SRS3,2004-03-01,Aboveground,316.027
SRS3,2004-03-01,Aboveground,395.668
SRS1b,2004-03-01,Belowground,359.603
SRS1b,2004-03-01,Belowground,521.328
SRS1b,2004-03-01,Belowground,315.726
SRS2,2004-03-01,Belowground,214.208
SRS2,2004-03-01,Belowground,410.981
SRS2,2004-03-01,Belowground,301.206
SRS3,2004-03-01,Belowground,206.164
SRS3,2004-03-01,Belowground,298.895
SRS3,2004-03-01,Belowground,1535.628
SRS1c,2005-04-01,Aboveground,299.000
SRS1c,2005-04-01,Aboveground,200.000
SRS1c,2005-04-01,Aboveground,244.000
SRS2,2005-04-01,Aboveground,185.000
SRS2,2005-04-01,Aboveground,172.000
SRS2,2005-04-01,Aboveground,188.000
SRS3,2005-04-01,Aboveground,178.000
SRS3,2005-04-01,Aboveground,238.000
SRS3,2005-04-01,Aboveground,223.000
SRS1c,2005-04-01,Belowground,932.000
SRS1c,2005-04-01,Belowground,221.000
SRS1c,2005-04-01,Belowground,137.000
SRS2,2005-04-01,Belowground,193.000
SRS2,2005-04-01,Belowground,143.000
SRS2,2005-04-01,Belowground,232.000
SRS3,2005-04-01,Belowground,121.000
SRS3,2005-04-01,Belowground,253.000
SRS3,2005-04-01,Belowground,260.000
SRS1d,2006-03-01,Aboveground,421.000
SRS1d,2006-03-01,Aboveground,346.000
SRS1d,2006-03-01,Aboveground,328.000
SRS2,2006-03-01,Aboveground,354.000
SRS2,2006-03-01,Aboveground,203.000
SRS2,2006-03-01,Aboveground,234.000
SRS3,2006-03-01,Aboveground,333.000
SRS3,2006-03-01,Aboveground,333.000
SRS3,2006-03-01,Aboveground,205.000
SRS1d,2006-03-01,Belowground,749.000
SRS1d,2006-03-01,Belowground,875.000
SRS1d,2006-03-01,Belowground,658.000
SRS2,2006-03-01,Belowground,388.000
SRS2,2006-03-01,Belowground,128.000
SRS2,2006-03-01,Belowground,195.000
SRS3,2006-03-01,Belowground,410.000
SRS3,2006-03-01,Belowground,703.000
SRS3,2006-03-01,Belowground,500.000
SRS1d,2007-03-01,Aboveground,297.000
SRS1d,2007-03-01,Aboveground,276.000
SRS1d,2007-03-01,Aboveground,348.000
SRS2,2007-03-01,Aboveground,218.000
SRS2,2007-03-01,Aboveground,140.000
SRS2,2007-03-01,Aboveground,160.000
SRS3,2007-03-01,Aboveground,190.000
SRS3,2007-03-01,Aboveground,236.000
SRS3,2007-03-01,Aboveground,300.000
SRS1d,2007-03-01,Belowground,276.000
SRS1d,2007-03-01,Belowground,406.000
SRS1d,2007-03-01,Belowground,336.000
SRS2,2007-03-01,Belowground,209.000
SRS2,2007-03-01,Belowground,236.000
SRS2,2007-03-01,Belowground,150.000
SRS3,2007-03-01,Belowground,140.000
SRS3,2007-03-01,Belowground,180.000
SRS3,2007-03-01,Belowground,233.000
SRS1d,2008-03-01,Aboveground,277.000
SRS1d,2008-03-01,Aboveground,263.000
SRS1d,2008-03-01,Aboveground,280.000
SRS2,2008-03-01,Aboveground,282.000
SRS2,2008-03-01,Aboveground,247.000
SRS2,2008-03-01,Aboveground,227.000
SRS3,2008-03-01,Aboveground,252.000
SRS3,2008-03-01,Aboveground,247.000
SRS3,2008-03-01,Aboveground,235.000
SRS1d,2008-03-01,Belowground,297.000
SRS1d,2008-03-01,Belowground,296.000
SRS1d,2008-03-01,Belowground,230.000
SRS2,2008-03-01,Belowground,151.000
SRS2,2008-03-01,Belowground,189.000
SRS2,2008-03-01,Belowground,212.500
SRS3,2008-03-01,Belowground,131.000
SRS3,2008-03-01,Belowground,129.000
SRS3,2008-03-01,Belowground,134.000
SRS1d,2009-03-01,Aboveground,263.000
SRS1d,2009-03-01,Aboveground,162.000
SRS1d,2009-03-01,Aboveground,314.000
SRS2,2009-03-01,Aboveground,235.000
SRS2,2009-03-01,Aboveground,139.000
SRS2,2009-03-01,Aboveground,224.000
SRS3,2009-03-01,Aboveground,175.000
SRS3,2009-03-01,Aboveground,181.000
SRS3,2009-03-01,Aboveground,265.000
SRS1d,2009-03-01,Belowground,239.000
SRS1d,2009-03-01,Belowground,163.000
SRS1d,2009-03-01,Belowground,285.000
SRS2,2009-03-01,Belowground,139.000
SRS2,2009-03-01,Belowground,104.000
SRS2,2009-03-01,Belowground,361.000
SRS3,2009-03-01,Belowground,273.000
SRS3,2009-03-01,Belowground,151.000
SRS3,2009-03-01,Belowground,296.000
SRS1d,2010-03-01,Aboveground,378.542
SRS1d,2010-03-01,Aboveground,289.629
SRS1d,2010-03-01,Aboveground,221.045
SRS2,2010-03-01,Aboveground,184.446
SRS2,2010-03-01,Aboveground,200.529
SRS2,2010-03-01,Aboveground,332.751
SRS3,2010-03-01,Aboveground,360.252
SRS3,2010-03-01,Aboveground,301.004
SRS3,2010-03-01,Aboveground,242.427
SRS1d,2010-03-01,Belowground,537.409
SRS1d,2010-03-01,Belowground,1005.058
SRS1d,2010-03-01,Belowground,140.576
SRS2,2010-03-01,Belowground,214.096
SRS2,2010-03-01,Belowground,233.763
SRS2,2010-03-01,Belowground,137.533
SRS3,2010-03-01,Belowground,673.181
SRS3,2010-03-01,Belowground,249.628
SRS3,2010-03-01,Belowground,262.745
SRS1d,2011-03-01,Aboveground,189.561
SRS1d,2011-03-01,Aboveground,188.806
SRS1d,2011-03-01,Aboveground,271.776
SRS2,2011-03-01,Aboveground,206.066
SRS2,2011-03-01,Aboveground,227.165
SRS2,2011-03-01,Aboveground,228.026
SRS3,2011-03-01,Aboveground,220.610
SRS3,2011-03-01,Aboveground,259.679
SRS3,2011-03-01,Aboveground,329.447
SRS1d,2011-03-01,Belowground,146.569
SRS1d,2011-03-01,Belowground,326.983
SRS1d,2011-03-01,Belowground,208.428
SRS2,2011-03-01,Belowground,125.570
SRS2,2011-03-01,Belowground,853.387
SRS2,2011-03-01,Belowground,383.478
SRS3,2011-03-01,Belowground,382.862
SRS3,2011-03-01,Belowground,148.601
SRS3,2011-03-01,Belowground,199.770
SRS1d,2012-03-01,Aboveground,166.283
SRS1d,2012-03-01,Aboveground,213.573
SRS1d,2012-03-01,Aboveground,144.020
SRS2,2012-03-01,Aboveground,156.602
SRS2,2012-03-01,Aboveground,132.811
SRS2,2012-03-01,Aboveground,192.324
SRS3,2012-03-01,Aboveground,225.791
SRS3,2012-03-01,Aboveground,234.801
SRS3,2012-03-01,Aboveground,324.394
SRS1d,2012-03-01,Belowground,256.318
SRS1d,2012-03-01,Belowground,182.599
SRS1d,2012-03-01,Belowground,106.805
SRS2,2012-03-01,Belowground,272.523
SRS2,2012-03-01,Belowground,282.375
SRS2,2012-03-01,Belowground,102.447
SRS3,2012-03-01,Belowground,562.504
SRS3,2012-03-01,Belowground,227.987
SRS3,2012-03-01,Belowground,530.110
SRS1d,2013-03-01,Aboveground,230.329
SRS1d,2013-03-01,Aboveground,238.732
SRS1d,2013-03-01,Aboveground,198.065
SRS2,2013-03-01,Aboveground,209.880
SRS2,2013-03-01,Aboveground,333.697
SRS2,2013-03-01,Aboveground,207.907
SRS3,2013-03-01,Aboveground,435.618
SRS3,2013-03-01,Aboveground,424.677
SRS3,2013-03-01,Aboveground,488.424
SRS1d,2013-03-01,Belowground,447.936
SRS1d,2013-03-01,Belowground,155.682
SRS1d,2013-03-01,Belowground,253.130
SRS2,2013-03-01,Belowground,487.495
SRS2,2013-03-01,Belowground,228.391
SRS2,2013-03-01,Belowground,159.195
SRS3,2013-03-01,Belowground,601.764
SRS3,2013-03-01,Belowground,713.317
SRS3,2013-03-01,Belowground,1762.762
SRS1d,2014-03-01,Aboveground,188.673
SRS1d,2014-03-01,Aboveground,233.449
SRS1d,2014-03-01,Aboveground,214.382
SRS2,2014-03-01,Aboveground,393.730
SRS2,2014-03-01,Aboveground,373.513
SRS2,2014-03-01,Aboveground,314.743
SRS3,2014-03-01,Aboveground,510.965
SRS3,2014-03-01,Aboveground,380.577
SRS3,2014-03-01,Aboveground,575.288
SRS1d,2014-03-01,Belowground,244.603
SRS1d,2014-03-01,Belowground,496.388
SRS1d,2014-03-01,Belowground,504.337
SRS2,2014-03-01,Belowground,1625.860
SRS2,2014-03-01,Belowground,1515.647
SRS2,2014-03-01,Belowground,972.991
SRS3,2014-03-01,Belowground,985.246
SRS3,2014-03-01,Belowground,978.043
SRS3,2014-03-01,Belowground,107.606
SRS1d,2015-03-01,Aboveground,179.048
SRS1d,2015-03-01,Aboveground,233.258
SRS1d,2015-03-01,Aboveground,159.423
SRS2,2015-03-01,Aboveground,185.242
SRS2,2015-03-01,Aboveground,285.385
SRS2,2015-03-01,Aboveground,273.198
SRS3,2015-03-01,Aboveground,228.358
SRS3,2015-03-01,Aboveground,354.155
SRS3,2015-03-01,Aboveground,243.698
SRS1d,2015-03-01,Belowground,287.930
SRS1d,2015-03-01,Belowground,317.215
SRS1d,2015-03-01,Belowground,171.737
SRS2,2015-03-01,Belowground,565.482
SRS2,2015-03-01,Belowground,199.961
SRS2,2015-03-01,Belowground,242.096
SRS3,2015-03-01,Belowground,92.220
SRS3,2015-03-01,Belowground,468.886
SRS3,2015-03-01,Belowground,399.950
SRS1d,2016-03-01,Aboveground,257.388
SRS1d,2016-03-01,Aboveground,184.123
SRS1d,2016-03-01,Aboveground,320.444
SRS2,2016-03-01,Aboveground,188.503
SRS2,2016-03-01,Aboveground,218.676
SRS2,2016-03-01,Aboveground,195.276
SRS3,2016-03-01,Aboveground,208.584
SRS3,2016-03-01,Aboveground,283.805
SRS3,2016-03-01,Aboveground,742.596
SRS1d,2016-03-01,Belowground,688.289
SRS1d,2016-03-01,Belowground,257.578
SRS1d,2016-03-01,Belowground,271.031
SRS2,2016-03-01,Belowground,243.133
SRS2,2016-03-01,Belowground,132.147
SRS2,2016-03-01,Belowground,205.062
SRS3,2016-03-01,Belowground,325.220
SRS3,2016-03-01,Belowground,184.915
SRS3,2016-03-01,Belowground,774.054
SRS1d,2017-03-01,Aboveground,204.308
SRS1d,2017-03-01,Aboveground,227.156
SRS1d,2017-03-01,Aboveground,283.330
SRS2,2017-03-01,Aboveground,214.479
SRS2,2017-03-01,Aboveground,182.040
SRS2,2017-03-01,Aboveground,248.705
SRS3,2017-03-01,Aboveground,296.085
SRS3,2017-03-01,Aboveground,574.997
SRS3,2017-03-01,Aboveground,353.455
SRS1d,2017-03-01,Belowground,558.932
SRS1d,2017-03-01,Belowground,325.325
SRS1d,2017-03-01,Belowground,203.359
SRS2,2017-03-01,Belowground,178.266
SRS2,2017-03-01,Belowground,331.438
SRS2,2017-03-01,Belowground,384.330
SRS3,2017-03-01,Belowground,394.210
SRS3,2017-03-01,Belowground,484.934
SRS3,2017-03-01,Belowground,608.775
SRS1d,2018-03-01,Aboveground,360.740
SRS1d,2018-03-01,Aboveground,212.880
SRS1d,2018-03-01,Aboveground,231.930
SRS2,2018-03-01,Aboveground,333.870
SRS2,2018-03-01,Aboveground,290.280
SRS2,2018-03-01,Aboveground,317.450
SRS3,2018-03-01,Aboveground,356.440
SRS3,2018-03-01,Aboveground,256.100
SRS3,2018-03-01,Aboveground,337.350
SRS1d,2018-03-01,Belowground,320.700
SRS1d,2018-03-01,Belowground,480.560
SRS1d,2018-03-01,Belowground,322.400
SRS2,2018-03-01,Belowground,686.670
SRS2,2018-03-01,Belowground,326.380
SRS2,2018-03-01,Belowground,558.410
SRS3,2018-03-01,Belowground,1929.500
SRS3,2018-03-01,Belowground,296.630
SRS3,2018-03-01,Belowground,555.830
SRS1d,2019-03-01,Aboveground,220.390
SRS1d,2019-03-01,Aboveground,246.330
SRS1d,2019-03-01,Aboveground,211.260
SRS2,2019-03-01,Aboveground,329.010
SRS2,2019-03-01,Aboveground,328.270
SRS2,2019-03-01,Aboveground,321.630
SRS3,2019-03-01,Aboveground,205.230
SRS3,2019-03-01,Aboveground,372.560
SRS3,2019-03-01,Aboveground,185.630
SRS1d,2019-03-01,Belowground,190.300
